cim,origTitle,forgalmazo,bemutato,bevetel,latogato
ALKONYAT-NAPFOGYATKOZÁS,"TWILIGHT- ECLIPSE",SPI/FÓRUM,2010/07/01,320794631,300394
"JÓ SRÁCOK","GOOD BOYS","UIP DUNA FILM",2019/08/15,320391411,225598
"DUNGEONS AND DRAGONS: BETYÁRBECSÜLET","DUNGEONS AND DRAGONS: HONOR AMONG THIEVES ",UIP,2023/03/30,320291736,152324
"GRAN TURISMO","GRAN TURISMO",INTERCOM,2023/08/10,318353439,157616
"AMERIKAI PITE - A TALÁLKOZÓ","AMERICAN RENUNION","UIP DUNA FILM",2012/04/05,317579969,256421
"AZ ASZFALT KIRÁLYAI","FORD V. FERRARI / LE MANS `66","FÓRUM HUNGARY",2019/11/14,316734495,200520
"MEG 2. - AZ ÁROK","MEG 2 – THE TRENCH",INTERCOM,2023/08/03,316259435,147164
"PÓKEMBER - A PÓKVERZUMON ÁT","SPIDER-MAN: ACROSS THE SPIDER-VERSE ",INTERCOM,2023/06/01,316087641,160790
"BRIDGET JONES NAPLÓJA",,"UIP DUNA FILM",2001/08/23,315685430,472689
"FORTUNE HADMŰVELET - A NAGY ÁTVERÉS","OPERATION FORTUNE: RUSE DE GUERRE",FORUM,2023/01/05,315061221,149883
"SZENILLA NYOMÁBAN","FINDING DORY","FÓRUM HUNGARY",2016/06/16,311874338,241880
"NYÚL PÉTER","PETER RABBIT",INTERCOM,2018/03/15,310551868,241864
FERDINÁND,FERDINAND,"FÓRUM HUNGARY",2017/12/21,309782995,234747
TENET,TENET,INTERCOM,2020/08/27,308783522,188929
"INDIANA JONES 4","INDIANA JONES 4","UIP DUNA FILM",2008/05/22,306964468,288712
GARFIELD,"THE GARFIELD MOVIE",INTERCOM,2024/05/30,306574873,138032
"ANGYALOK ÉS DÉMONOK","ANGELS AND DEMONS",INTERCOM,2009/05/13,305138480,287016
MÚMIA,,"UIP DUNA FILM",1999/06/24,304938312,685491
"ÉNEKELJ! 2","SING 2 ",UIP,2021/12/02,304794029,196366
KÍVÁNSÁG,WISH,FORUM,2023/11/23,302790880,147423
"LAST VEGAS","LAST VEGAS",PROVIDEO,2013/10/31,302637325,229333
"BAZI NAGY GÖRÖG LAGZI","MY BIG FAT GREEK WEDDING",INTERCOM,2003/01/16,301429707,375024
"VEJEDRE ÜTÖK","MEET THE FOCKERS","UIP DUNA FILM",2005/02/17,300929512,331306
GARFIELD,"THE GARFIELD MOVIE",INTERCOM,2024/05/30,300489365,135374
